
/g4b/src/price_feed/CoreUniswapFeed.sol
    2:1   error    Compiler version =0.8.22 does not satisfy the ^0.5.8 semver requirement                            compiler-version
   21:5   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   22:2   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   28:5   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   29:5   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   32:2   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
   32:57  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   32:88  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   88:4   warning  Code contains empty blocks                                                                         no-empty-blocks
   99:6   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  100:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  119:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase

✖ 12 problems (1 error, 11 warnings)

