
/g4b/src/pools/Pools.sol
    2:1   error    Compiler version =0.8.22 does not satisfy the ^0.5.8 semver requirement                            compiler-version
   52:2   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
   55:3   warning  Code contains empty blocks                                                                         no-empty-blocks
   72:6   warning  Error message for require is too long                                                              reason-string
   83:11  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  142:3   warning  Error message for require is too long                                                              reason-string
  144:3   warning  Error message for require is too long                                                              reason-string
  146:3   warning  Error message for require is too long                                                              reason-string
  147:3   warning  Error message for require is too long                                                              reason-string
  172:3   warning  Error message for require is too long                                                              reason-string
  173:3   warning  Error message for require is too long                                                              reason-string
  187:9   warning  Error message for require is too long                                                              reason-string
  193:3   warning  Error message for require is too long                                                              reason-string
  221:6   warning  Error message for require is too long                                                              reason-string
  243:9   warning  Error message for require is too long                                                              reason-string
  353:3   warning  Error message for require is too long                                                              reason-string
  371:6   warning  Error message for require is too long                                                              reason-string

✖ 17 problems (1 error, 16 warnings)

