
/g4b/src/Upkeep.sol
    2:1   error    Compiler version =0.8.22 does not satisfy the ^0.5.8 semver requirement                            compiler-version
   67:5   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
   86:29  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
   87:35  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
   97:6   warning  Error message for require is too long                                                              reason-string
  132:85  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  133:85  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  178:79  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  186:33  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  189:29  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  207:33  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  212:35  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  247:21  warning  Code contains empty blocks                                                                         no-empty-blocks
  250:31  warning  Code contains empty blocks                                                                         no-empty-blocks
  253:21  warning  Code contains empty blocks                                                                         no-empty-blocks
  256:21  warning  Code contains empty blocks                                                                         no-empty-blocks
  259:21  warning  Code contains empty blocks                                                                         no-empty-blocks
  262:21  warning  Code contains empty blocks                                                                         no-empty-blocks
  265:21  warning  Code contains empty blocks                                                                         no-empty-blocks
  268:21  warning  Code contains empty blocks                                                                         no-empty-blocks
  271:21  warning  Code contains empty blocks                                                                         no-empty-blocks
  274:22  warning  Code contains empty blocks                                                                         no-empty-blocks
  277:22  warning  Code contains empty blocks                                                                         no-empty-blocks

✖ 23 problems (1 error, 22 warnings)

