
/g4b/src/tokens/PrincipalToken.sol
    3:1   error    Compiler version 0.8.20 does not satisfy the ^0.5.8 semver requirement                             compiler-version
   29:1   warning  Contract has 17 states declarations but allowed no more than 15                                    max-states-count
   86:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
   94:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  102:5   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
  133:30  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  399:28  warning  Avoid to use low level calls                                                                       avoid-low-level-calls
  793:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  812:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  832:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  867:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  880:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  886:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time

✖ 13 problems (1 error, 12 warnings)

