
/g4b/contracts/WrapperHub/AaveHub.sol
    3:1   error    Compiler version =0.8.24 does not satisfy the ^0.5.8 semver requirement                            compiler-version
   27:5   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
   37:5   warning  Code contains empty blocks                                                                         no-empty-blocks
  147:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  192:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  228:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  271:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  304:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  344:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  380:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  423:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  472:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  546:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  605:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  691:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time

✖ 15 problems (1 error, 14 warnings)

