
/g4b/contracts/FeeManager/FeeManager.sol
    3:1   error    Compiler version =0.8.24 does not satisfy the ^0.5.8 semver requirement                            compiler-version
   27:5   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
   43:5   warning  Code contains empty blocks                                                                         no-empty-blocks
   90:9   warning  Avoid to use letters 'I', 'l', 'O' as identifiers                                                  use-forbidden-name
  127:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  143:9   warning  Avoid to use letters 'I', 'l', 'O' as identifiers                                                  use-forbidden-name
  159:17  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  187:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  206:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  224:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  242:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  255:9   warning  Avoid to use letters 'I', 'l', 'O' as identifiers                                                  use-forbidden-name
  277:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  301:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  344:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  381:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  404:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  430:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  480:17  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  506:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  529:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  546:9   warning  Avoid to use letters 'I', 'l', 'O' as identifiers                                                  use-forbidden-name
  563:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  579:9   warning  Avoid to use letters 'I', 'l', 'O' as identifiers                                                  use-forbidden-name
  596:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  607:9   warning  Avoid to use letters 'I', 'l', 'O' as identifiers                                                  use-forbidden-name
  620:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  680:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  720:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  807:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  857:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  902:9   warning  Avoid to use letters 'I', 'l', 'O' as identifiers                                                  use-forbidden-name

✖ 32 problems (1 error, 31 warnings)

