
/g4b/contracts/PowerFarms/PendlePowerFarmController/PendlePowerFarmController.sol
    3:1   error    Compiler version =0.8.24 does not satisfy the ^0.5.8 semver requirement                            compiler-version
   10:5   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   12:5   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
  427:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  447:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  469:17  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  475:28  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  493:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  596:13  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time

✖ 9 problems (1 error, 8 warnings)

