
/g4b/contracts/WiseSecurity/WiseSecurityDeclarations.sol
    3:1  error    Compiler version =0.8.24 does not satisfy the ^0.5.8 semver requirement                            compiler-version
   52:5  warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
  186:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  191:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  194:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  197:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  200:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  203:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  222:5  warning  Explicitly mark visibility of state                                                                state-visibility
  222:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase

✖ 10 problems (1 error, 9 warnings)

