
/g4b/src/FreshCryptoLib/FCL.sol
   24:1   error    Compiler version >=0.8.19 <0.9.0 does not satisfy the ^0.5.8 semver requirement  compiler-version
   29:5   warning  Explicitly mark visibility of state                                              state-visibility
   31:5   warning  Explicitly mark visibility of state                                              state-visibility
   31:5   warning  Constant name must be in capitalized SNAKE_CASE                                  const-name-snakecase
   33:5   warning  Explicitly mark visibility of state                                              state-visibility
   33:5   warning  Constant name must be in capitalized SNAKE_CASE                                  const-name-snakecase
   35:5   warning  Explicitly mark visibility of state                                              state-visibility
   35:5   warning  Constant name must be in capitalized SNAKE_CASE                                  const-name-snakecase
   37:5   warning  Explicitly mark visibility of state                                              state-visibility
   37:5   warning  Constant name must be in capitalized SNAKE_CASE                                  const-name-snakecase
   38:5   warning  Explicitly mark visibility of state                                              state-visibility
   38:5   warning  Constant name must be in capitalized SNAKE_CASE                                  const-name-snakecase
   40:5   warning  Explicitly mark visibility of state                                              state-visibility
   40:5   warning  Constant name must be in capitalized SNAKE_CASE                                  const-name-snakecase
   42:5   warning  Explicitly mark visibility of state                                              state-visibility
   42:5   warning  Constant name must be in capitalized SNAKE_CASE                                  const-name-snakecase
   44:5   warning  Explicitly mark visibility of state                                              state-visibility
   44:5   warning  Constant name must be in capitalized SNAKE_CASE                                  const-name-snakecase
   46:5   warning  Explicitly mark visibility of state                                              state-visibility
   46:5   warning  Constant name must be in capitalized SNAKE_CASE                                  const-name-snakecase
   50:5   warning  Function name must be in mixedCase                                               func-name-mixedcase
   50:66  warning  Variable name must be in mixedCase                                               var-name-mixedcase
   50:78  warning  Variable name must be in mixedCase                                               var-name-mixedcase
   61:9   warning  Variable name must be in mixedCase                                               var-name-mixedcase
   62:9   warning  Variable name must be in mixedCase                                               var-name-mixedcase
   78:5   warning  Function name must be in mixedCase                                               func-name-mixedcase
   83:13  warning  Variable name must be in mixedCase                                               var-name-mixedcase
   84:13  warning  Variable name must be in mixedCase                                               var-name-mixedcase
   94:5   warning  Function name must be in mixedCase                                               func-name-mixedcase
   95:9   warning  Avoid to use inline assembly. It is acceptable only in rare cases                no-inline-assembly
  117:5   warning  Function name must be in mixedCase                                               func-name-mixedcase
  118:9   warning  Variable name must be in mixedCase                                               var-name-mixedcase
  119:9   warning  Variable name must be in mixedCase                                               var-name-mixedcase
  120:9   warning  Variable name must be in mixedCase                                               var-name-mixedcase
  121:9   warning  Variable name must be in mixedCase                                               var-name-mixedcase
  122:30  warning  Variable name must be in mixedCase                                               var-name-mixedcase
  125:9   warning  Variable name must be in mixedCase                                               var-name-mixedcase
  127:9   warning  Variable name must be in mixedCase                                               var-name-mixedcase
  128:9   warning  Variable name must be in mixedCase                                               var-name-mixedcase
  140:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases                no-inline-assembly
  144:19  warning  Code contains empty blocks                                                       no-empty-blocks
  164:21  warning  Code contains empty blocks                                                       no-empty-blocks
  274:5   warning  Function name must be in mixedCase                                               func-name-mixedcase
  293:5   warning  Function name must be in mixedCase                                               func-name-mixedcase
  301:5   warning  Function name must be in mixedCase                                               func-name-mixedcase
  318:5   warning  Function name must be in mixedCase                                               func-name-mixedcase
  321:18  warning  Variable name must be in mixedCase                                               var-name-mixedcase
  321:30  warning  Variable name must be in mixedCase                                               var-name-mixedcase
  321:42  warning  Variable name must be in mixedCase                                               var-name-mixedcase
  321:54  warning  Variable name must be in mixedCase                                               var-name-mixedcase
  324:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases                no-inline-assembly
  344:5   warning  Function name must be in mixedCase                                               func-name-mixedcase
  347:18  warning  Variable name must be in mixedCase                                               var-name-mixedcase
  347:30  warning  Variable name must be in mixedCase                                               var-name-mixedcase
  347:42  warning  Variable name must be in mixedCase                                               var-name-mixedcase
  347:54  warning  Variable name must be in mixedCase                                               var-name-mixedcase
  354:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases                no-inline-assembly
  374:5   warning  Function name must be in mixedCase                                               func-name-mixedcase
  375:9   warning  Avoid to use inline assembly. It is acceptable only in rare cases                no-inline-assembly

✖ 59 problems (1 error, 58 warnings)

