
/g4b/contracts/connectors/BalancerConnector.sol
    2:1   error    Compiler version 0.8.20 does not satisfy the ^0.5.8 semver requirement                             compiler-version
   29:5   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   30:5   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   32:5   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   42:5   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
   45:9   warning  Provide an error message for require                                                               reason-string
   46:9   warning  Provide an error message for require                                                               reason-string
   47:9   warning  Provide an error message for require                                                               reason-string
  117:41  warning  Variable "positionId" is unused                                                                    no-unused-vars
  163:9   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase

✖ 10 problems (1 error, 9 warnings)

