
/g4b/contracts/connectors/BalancerFlashLoan.sol
   2:1   error    Compiler version 0.8.20 does not satisfy the ^0.5.8 semver requirement                             compiler-version
  17:5   warning  Explicitly mark visibility of state                                                                state-visibility
  24:5   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
  25:9   warning  Provide an error message for require                                                               reason-string
  26:9   warning  Provide an error message for require                                                               reason-string
  61:9   warning  Provide an error message for require                                                               reason-string
  81:35  warning  Avoid to use low level calls                                                                       avoid-low-level-calls
  82:17  warning  Error message for require is too long                                                              reason-string
  92:13  warning  Error message for require is too long                                                              reason-string

✖ 9 problems (1 error, 8 warnings)

