
/g4b/contracts/connectors/CurveConnector.sol
    2:1  error    Compiler version 0.8.20 does not satisfy the ^0.5.8 semver requirement                             compiler-version
   27:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   28:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   29:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   45:5  warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
   52:9  warning  Provide an error message for require                                                               reason-string
   53:9  warning  Provide an error message for require                                                               reason-string
   54:9  warning  Provide an error message for require                                                               reason-string
   55:9  warning  Provide an error message for require                                                               reason-string
  266:9  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  279:5  warning  Function name must be in mixedCase                                                                 func-name-mixedcase

✖ 11 problems (1 error, 10 warnings)

