
/g4b/contracts/connectors/MaverickConnector.sol
    2:1   error    Compiler version 0.8.20 does not satisfy the ^0.5.8 semver requirement                             compiler-version
   30:5   warning  Explicitly mark visibility of state                                                                state-visibility
   31:5   warning  Explicitly mark visibility of state                                                                state-visibility
   32:5   warning  Explicitly mark visibility of state                                                                state-visibility
   33:5   warning  Explicitly mark visibility of state                                                                state-visibility
   35:5   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   43:5   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
   46:9   warning  Provide an error message for require                                                               reason-string
   47:9   warning  Provide an error message for require                                                               reason-string
   48:9   warning  Provide an error message for require                                                               reason-string
   49:9   warning  Provide an error message for require                                                               reason-string
   56:32  warning  Code contains empty blocks                                                                         no-empty-blocks
  161:35  warning  Variable "id" is unused                                                                            no-unused-vars

✖ 13 problems (1 error, 12 warnings)

