
/g4b/contracts/connectors/StargateConnector.sol
   2:1  error    Compiler version 0.8.20 does not satisfy the ^0.5.8 semver requirement                             compiler-version
  16:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  22:5  warning  Explicitly mark visibility of state                                                                state-visibility
  22:5  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
  23:5  warning  Explicitly mark visibility of state                                                                state-visibility
  24:5  warning  Explicitly mark visibility of state                                                                state-visibility
  33:5  warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
  36:9  warning  Provide an error message for require                                                               reason-string
  37:9  warning  Provide an error message for require                                                               reason-string
  88:9  warning  Variable name must be in mixedCase                                                                 var-name-mixedcase

✖ 10 problems (1 error, 9 warnings)

