
/g4b/contracts/libraries/Math.sol
    2:1   error    Compiler version ^0.8.0 does not satisfy the ^0.5.8 semver requirement  compiler-version
  353:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  361:17  warning  Provide an error message for require                                    reason-string
  362:17  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  370:13  warning  Provide an error message for require                                    reason-string
  379:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  383:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  393:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  398:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  404:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  448:17  warning  Provide an error message for require                                    reason-string
  467:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  476:17  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  484:13  warning  Provide an error message for require                                    reason-string
  493:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  497:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  503:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  530:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  539:17  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  547:13  warning  Provide an error message for require                                    reason-string
  556:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  560:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  566:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  588:17  warning  Provide an error message for require                                    reason-string
  607:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  616:17  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  624:13  warning  Provide an error message for require                                    reason-string
  633:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  637:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  643:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  665:17  warning  Provide an error message for require                                    reason-string
  684:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  693:17  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  701:13  warning  Provide an error message for require                                    reason-string
  710:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  714:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  720:13  warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly
  739:9   warning  Avoid to use inline assembly. It is acceptable only in rare cases       no-inline-assembly

✖ 38 problems (1 error, 37 warnings)

