
/g4b/contracts/TimelockController.sol
    4:1   error    Compiler version ^0.8.0 does not satisfy the ^0.5.8 semver requirement                             compiler-version
   87:5   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
  137:32  warning  Code contains empty blocks                                                                         no-empty-blocks
  170:60  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  267:9   warning  Error message for require is too long                                                              reason-string
  268:9   warning  Error message for require is too long                                                              reason-string
  284:9   warning  Error message for require is too long                                                              reason-string
  285:9   warning  Error message for require is too long                                                              reason-string
  286:27  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  297:9   warning  Error message for require is too long                                                              reason-string
  349:9   warning  Error message for require is too long                                                              reason-string
  350:9   warning  Error message for require is too long                                                              reason-string
  369:28  warning  Avoid to use low level calls                                                                       avoid-low-level-calls
  370:9   warning  Error message for require is too long                                                              reason-string
  377:9   warning  Error message for require is too long                                                              reason-string
  378:9   warning  Error message for require is too long                                                              reason-string
  388:9   warning  Error message for require is too long                                                              reason-string
  403:9   warning  Error message for require is too long                                                              reason-string

✖ 18 problems (1 error, 17 warnings)

