
/g4b/contracts/Bridge/xERC20/contracts/XERC20.sol
    2:1   error    Compiler version >=0.8.4 <0.9.0 does not satisfy the ^0.5.8 semver requirement                     compiler-version
   31:5   warning  Variable name must be in mixedCase                                                                 var-name-mixedcase
   50:5   warning  Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)  func-visibility
   76:5   warning  Function name must be in mixedCase                                                                 func-name-mixedcase
  207:51  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  219:51  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  242:51  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  264:51  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  311:46  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  313:45  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time
  314:35  warning  Avoid making time-based decisions in your business logic                                           not-rely-on-time

✖ 11 problems (1 error, 10 warnings)

